Participant;Expert;Snippet;NumberOfFixations;FixationsPerSecond;Linearity;HasError;HitsBlock;HitsLine;HitsType;HitsReturnType;VerticalNext;VerticalLater;Regression;HorizontalLater;LineRegression;SaccadeLength;StoryOrder_Naive_Score;StoryOrder_Dynamic_Score;StoryOrder_Dynamic_Repetitions;ExecOrder_Naive_Score;ExecOrder_Dynamic_Score;ExecOrder_Dynamic_Repetitions
1f719d25;True;binarySearchMN;191;7.754770604953309;5;False;0.9319371727748691;0.6963350785340314;0.0;0.0;0.15037593984962405;0.21804511278195488;0.18796992481203006;0.3533834586466165;0.23308270676691728;26.59447399814745;-62;-17;4;-62;-17;4
100f6006;True;binarySearchMN;298;5.411196455484738;5;False;0.9832214765100671;0.7315436241610739;0.0;0.0;0.1559633027522936;0.29357798165137616;0.22018348623853212;0.21559633027522937;0.26605504587155965;27.26618935855411;-184;-57;8;-184;-57;8
bfc145dd;True;binarySearchMN;319;6.443142799434458;5;False;0.987460815047022;0.7836990595611285;0.0;0.0;0.096;0.164;0.188;0.352;0.292;50.50606262990839;-136;-94;6;-136;-94;6
32c8cfbd;True;binarySearchMN;415;8.895080913085414;5;False;0.9855421686746988;0.691566265060241;0.0;0.0;0.0975609756097561;0.17073170731707318;0.16376306620209058;0.33797909407665505;0.3240418118466899;30.976754566746457;-134;-35;7;-134;-35;7
14cdf899;True;binarySearchLT;354;4.4354788187092;5;False;0.940677966101695;0.6694915254237288;0.0847457627118644;0.0;0.1518987341772152;0.23628691983122363;0.21518987341772153;0.29957805907172996;0.24472573839662448;101.04751443751223;-168;-56;7;-168;-56;7
a419ffe2;True;binarySearchLT;1875;20.565073376181804;5;False;0.976;0.7210666666666666;0.07946666666666667;0.0010666666666666667;0.1346153846153846;0.20562130177514792;0.21819526627218935;0.28772189349112426;0.28772189349112426;57.652661759501875;-1094;-529;41;-1094;-529;41
3bb48a47;True;binarySearchLT;851;7.762048962019775;5;False;0.8648648648648649;0.6439482961222092;0.1045828437132785;0.0;0.14963503649635038;0.19708029197080293;0.18613138686131386;0.34124087591240876;0.2737226277372263;33.86679645818662;-374;-172;14;-374;-172;14
58d7c2ce;True;binarySearchLT;92;0.5367373370827159;5;False;0.8695652173913043;0.5869565217391305;0.03260869565217391;0.0;0.2037037037037037;0.37037037037037035;0.37037037037037035;0.12962962962962962;0.1111111111111111;12.981912126681628;-40;-23;2;-40;-23;2
3ff0e049;True;binarySearchLT;903;4.977455379289816;5;False;0.9955703211517165;0.7486157253599114;0.06312292358803986;0.0011074197120708748;0.11834319526627218;0.1893491124260355;0.1952662721893491;0.3210059171597633;0.29289940828402367;28.633462372351755;-474;-239;17;-474;-239;17
98d72292;True;binarySearchLT;74;4.893532601507737;5;False;0.7702702702702703;0.43243243243243246;0.04054054054054054;0.0;0.1875;0.25;0.25;0.15625;0.3125;40.11924628238248;-24;-24;1;-24;-24;1
a81594d4;True;binarySearchLT;477;7.10402859483208;5;False;0.8238993710691824;0.6268343815513627;0.09643605870020965;0.0;0.16387959866220736;0.22742474916387959;0.25752508361204013;0.22073578595317725;0.2909698996655518;82.93270297816372;-244;-127;11;-244;-127;11
b84d57ba;True;binarySearchLT;455;5.14391661202433;5;False;0.8131868131868132;0.5824175824175825;0.05274725274725275;0.002197802197802198;0.13584905660377358;0.2188679245283019;0.2188679245283019;0.28679245283018867;0.27169811320754716;40.218907422323326;-186;-89;8;-186;-89;8
de29c929;True;binarySearchLT;508;4.5242421003883;5;False;0.9153543307086615;0.7303149606299213;0.11023622047244094;0.001968503937007874;0.1320754716981132;0.16711590296495957;0.14016172506738545;0.3423180592991914;0.3477088948787062;25.13887057171841;-182;-82;8;-182;-82;8
efb5c33f;True;binarySearchLT;49;0.9386433729862268;5;False;0.8775510204081632;0.673469387755102;0.061224489795918366;0.0;0.18181818181818182;0.21212121212121213;0.21212121212121213;0.36363636363636365;0.18181818181818182;31.502998131677007;-12;-12;1;-12;-12;1
bfae9f90;True;binarySearchLN;212;7.711334206314564;5;False;0.9716981132075472;0.6462264150943396;0.0;0.0;0.1678832116788321;0.25547445255474455;0.19708029197080293;0.31386861313868614;0.22627737226277372;32.8614634835941;-72;-20;5;-72;-20;5
63677c3e;True;binarySearchLN;296;5.096155501609766;5;False;0.9695945945945946;0.6790540540540541;0.0;0.0;0.14925373134328357;0.22885572139303484;0.20398009950248755;0.31343283582089554;0.24875621890547264;30.76952961732988;-128;-56;7;-128;-56;7
0dd6451f;True;binarySearchLN;392;5.525718554855443;5;False;0.8035714285714286;0.49744897959183676;0.0;0.0;0.15384615384615385;0.28717948717948716;0.26153846153846155;0.24615384615384617;0.2;30.623074337498533;-174;-82;10;-174;-82;10
779e5d3b;True;binarySearchLN;465;4.327513680527119;5;False;0.8774193548387097;0.5591397849462365;0.0;0.0;0.17692307692307693;0.25769230769230766;0.2230769230769231;0.25;0.2653846153846154;30.224047975790278;-204;-107;9;-204;-107;9
5ca4e6ea;True;binarySearchLN;125;6.232548863183087;5;False;0.992;0.664;0.0;0.0;0.1566265060240964;0.21686746987951808;0.18072289156626506;0.30120481927710846;0.2891566265060241;21.11205681851904;-21;-21;1;-21;-21;1
0833d15e;True;binarySearchLN;361;4.352176691140126;5;False;0.9778393351800554;0.703601108033241;0.0;0.0;0.14566929133858267;0.2204724409448819;0.21653543307086615;0.33070866141732286;0.2283464566929134;31.431478627217828;-176;-104;8;-176;-104;8
eab8e2ba;True;binarySearchLN;669;2.544122848048555;5;False;0.9835575485799701;0.8146487294469357;0.0;0.0;0.11559633027522936;0.1596330275229358;0.1559633027522936;0.3394495412844037;0.3431192660550459;14.860627138830093;-292;-143;9;-292;-143;9
e6cf9408;True;binarySearchLN;1131;7.217567213993529;5;False;0.9513704686118479;0.5950486295313882;0.0;0.0;0.12035661218424963;0.1961367013372957;0.1961367013372957;0.32540861812778604;0.28083209509658247;47.348941016684215;-476;-216;18;-476;-216;18
502f3f13;True;binarySearchLN;460;8.943326528628365;5;False;0.9717391304347827;0.7108695652173913;0.0;0.0;0.1559633027522936;0.26605504587155965;0.25382262996941896;0.21712538226299694;0.2599388379204893;53.69561964561146;-294;-143;11;-294;-143;11
1cbabb88;True;binaryToDecimalMT;644;8.340888485947417;5;False;0.9813664596273292;0.6288819875776398;0.006211180124223602;0.0015527950310559005;0.11604938271604938;0.1580246913580247;0.18024691358024691;0.32098765432098764;0.33827160493827163;30.377516080760078;-232;-99;14;-271;-221;11
33d8c332;True;binaryToDecimalMT;537;7.500000000000001;5;False;0.994413407821229;0.6573556797020484;0.040968342644320296;0.0037243947858473;0.1359773371104816;0.1954674220963173;0.2096317280453258;0.31444759206798867;0.2776203966005666;29.83806462331011;-238;-83;12;-283;-233;11
b02b7162;True;binaryToDecimalMT;134;4.604178119846069;5;False;0.9402985074626866;0.6194029850746269;0.007462686567164179;0.007462686567164179;0.14457831325301204;0.1686746987951807;0.13253012048192772;0.4457831325301205;0.24096385542168675;18.46607119358528;-14;-3;3;-47;-42;2
c91e49ab;True;binaryToDecimalMT;346;4.985231611555363;5;False;0.9653179190751445;0.6329479768786127;0.005780346820809248;0.0;0.091324200913242;0.1415525114155251;0.1141552511415525;0.3881278538812785;0.3515981735159817;27.685668496434655;-70;-15;6;-109;-84;6
5650734b;True;binaryToDecimalMT;140;4.61133069828722;5;False;0.9785714285714285;0.5928571428571429;0.007142857142857143;0.0;0.18072289156626506;0.25301204819277107;0.21686746987951808;0.26506024096385544;0.25301204819277107;20.678657216609622;-36;9;4;-75;-60;4
100f6006;True;binaryToDecimalMT;156;4.770350437282124;5;False;0.9294871794871795;0.5833333333333334;0.00641025641025641;0.0;0.14285714285714285;0.2087912087912088;0.13186813186813187;0.3626373626373626;0.2857142857142857;31.50203718812578;-26;5;3;-59;-54;2
4a008c2b;True;binaryToDecimalMN;288;3.005949274605991;5;False;0.9375;0.6597222222222222;0.0;0.0;0.07368421052631578;0.11578947368421053;0.07894736842105263;0.4105263157894737;0.3894736842105263;15.81592604317776;-32;-10;3;-71;-51;5
ab5e5846;True;binaryToDecimalMN;224;3.9505476093896053;5;False;0.9910714285714286;0.6741071428571429;0.0;0.0;0.16556291390728478;0.2185430463576159;0.2185430463576159;0.2913907284768212;0.26490066225165565;50.51337490563297;-114;-61;6;-135;-135;1
095c9452;True;binaryToDecimalMN;191;2.7404729109274566;5;False;0.9790575916230366;0.39267015706806285;0.0;0.0;0.2;0.26666666666666666;0.2;0.25333333333333335;0.26666666666666666;24.453551221705162;-40;-14;3;-67;-57;3
b167d432;True;binaryToDecimalMN;306;7.37402703809914;5;False;0.9901960784313726;0.4869281045751634;0.0;0.0;0.14093959731543623;0.20134228187919462;0.2080536912751678;0.3221476510067114;0.26174496644295303;24.14988187035144;-86;-40;7;-119;-104;4
77c00511;True;binaryToDecimalMN;300;4.700720777185835;5;False;0.9833333333333333;0.56;0.0;0.0;0.13690476190476192;0.19047619047619047;0.16071428571428573;0.27976190476190477;0.3630952380952381;29.126577957080766;-82;-29;4;-115;-95;5
1f719d25;True;binaryToDecimalMN;315;6.006063263866379;5;False;0.9936507936507937;0.6825396825396826;0.0;0.0;0.09302325581395349;0.2;0.17209302325581396;0.34418604651162793;0.27906976744186046;30.41846306457613;-124;-21;8;-157;-117;9
bfc145dd;True;binaryToDecimalMN;293;4.516934650901074;5;False;0.9965870307167235;0.6962457337883959;0.0;0.0;0.09803921568627451;0.13725490196078433;0.10784313725490197;0.37254901960784315;0.37745098039215685;22.192244021540926;-64;-19;6;-97;-97;1
27ef8f7c;True;binaryToDecimalMN;386;4.792947165828522;5;False;0.9533678756476683;0.533678756476684;0.0;0.0;0.1407766990291262;0.22815533980582525;0.23786407766990292;0.2766990291262136;0.2524271844660194;29.035494535852866;-156;-54;10;-189;-134;12
a419ffe2;True;binaryToDecimalLT;583;20.54625550660793;5;False;0.9588336192109777;0.6295025728987993;0.022298456260720412;0.0017152658662092624;0.11171662125340599;0.19346049046321526;0.20435967302452315;0.31607629427792916;0.28337874659400547;65.81230883186464;-250;-98;12;-289;-219;15
bfae9f90;True;binaryToDecimalLT;163;6.6281717631750166;5;False;0.9570552147239264;0.6809815950920245;0.006134969325153374;0.0;0.14414414414414414;0.25225225225225223;0.2072072072072072;0.26126126126126126;0.2702702702702703;41.89302175949892;-60;-8;5;-99;-89;3
58d7c2ce;True;binaryToDecimalLT;33;0.5238344683080147;5;False;0.2727272727272727;0.09090909090909091;0.0;0.0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;416.2446862123483;-5;-5;1;-7;-7;1
63677c3e;True;binaryToDecimalLT;174;5.5495311602985264;5;False;0.896551724137931;0.5689655172413793;0.017241379310344827;0.0;0.21212121212121213;0.31313131313131315;0.25252525252525254;0.1919191919191919;0.23232323232323232;52.09399164727043;-70;-12;6;-109;-79;7
0dd6451f;True;binaryToDecimalLT;288;5.379256243112497;5;False;0.8541666666666666;0.4895833333333333;0.003472222222222222;0.0;0.14893617021276595;0.2553191489361702;0.2624113475177305;0.22695035460992907;0.24822695035460993;29.32765811807999;-104;-17;6;-143;-123;5
779e5d3b;True;binaryToDecimalLT;542;6.7117418332218834;5;False;0.9797047970479705;0.5756457564575646;0.007380073800738007;0.0;0.14102564102564102;0.1987179487179487;0.16025641025641027;0.3108974358974359;0.3269230769230769;25.984135712282015;-182;-52;9;-221;-216;2
5ca4e6ea;True;binaryToDecimalLT;167;3.8008102326004822;5;False;0.9880239520958084;0.6167664670658682;0.005988023952095809;0.0;0.17475728155339806;0.1941747572815534;0.1553398058252427;0.33980582524271846;0.30097087378640774;24.797613684564467;-30;-12;3;-69;-64;2
e6cf9408;True;binaryToDecimalLT;486;5.18278377340784;5;False;0.9423868312757202;0.5534979423868313;0.00205761316872428;0.0;0.09293680297397769;0.13011152416356878;0.10037174721189591;0.44981412639405205;0.3159851301115242;23.9997668149391;-82;-16;6;-121;-106;4
98d72292;True;binaryToDecimalLT;369;6.152973937403078;5;False;0.959349593495935;0.5555555555555556;0.005420054200542005;0.0;0.12195121951219512;0.1951219512195122;0.18048780487804877;0.2975609756097561;0.32195121951219513;26.450574395754188;-112;-25;7;-151;-126;6
a81594d4;True;binaryToDecimalLT;455;6.084595942711189;5;False;0.9054945054945055;0.512087912087912;0.01098901098901099;0.0;0.13304721030042918;0.17167381974248927;0.18025751072961374;0.33047210300429186;0.3133047210300429;19.760193868874147;-122;-61;7;-161;-141;5
b84d57ba;True;binaryToDecimalLT;47;3.0539311241065628;5;False;0.9148936170212766;0.5106382978723404;0.02127659574468085;0.0;0.125;0.25;0.2916666666666667;0.375;0.041666666666666664;40.296378235128294;-14;-14;1;-23;-18;2
de29c929;True;binaryToDecimalLT;238;5.458715596330275;5;False;0.865546218487395;0.5882352941176471;0.004201680672268907;0.004201680672268907;0.1;0.18571428571428572;0.2;0.2785714285714286;0.32857142857142857;26.194839583948877;-66;-20;4;-105;-85;5
14cdf899;True;binaryToDecimalLN;163;4.9673919668434205;5;False;0.9570552147239264;0.44785276073619634;0.0;0.0;0.1780821917808219;0.2191780821917808;0.1643835616438356;0.2876712328767123;0.3150684931506849;18.186169090977486;-20;0;3;-53;-48;2
3bb48a47;True;binaryToDecimalLN;431;7.313513880404534;5;False;0.9466357308584686;0.5522041763341067;0.0;0.0;0.10504201680672269;0.18067226890756302;0.20588235294117646;0.35714285714285715;0.25210084033613445;26.990496094533057;-142;-44;8;-181;-136;10
3ff0e049;True;binaryToDecimalLN;761;5.082413912857639;5;False;0.9986859395532195;0.6097240473061761;0.0;0.0;0.10991379310344827;0.15732758620689655;0.15086206896551724;0.32112068965517243;0.36853448275862066;26.41175142253421;-244;-64;15;-283;-263;5
0833d15e;True;binaryToDecimalLN;238;5.319505598891397;5;False;0.9747899159663865;0.5966386554621849;0.0;0.0;0.11971830985915492;0.18309859154929578;0.16901408450704225;0.38028169014084506;0.2605633802816901;25.586703622029393;-64;-24;3;-97;-87;3
eab8e2ba;True;binaryToDecimalLN;720;2.765646066444647;5;False;0.9944444444444445;0.6513888888888889;0.0;0.0;0.09808102345415778;0.16844349680170576;0.14925373134328357;0.36886993603411516;0.31130063965884863;14.741114647536735;-262;-45;16;-295;-235;13
502f3f13;True;binaryToDecimalLN;263;7.844189930804104;5;False;0.9961977186311787;0.596958174904943;0.0;0.0;0.17834394904458598;0.25477707006369427;0.2356687898089172;0.25477707006369427;0.2484076433121019;40.91716612607411;-118;-58;7;-157;-157;1
efb5c33f;True;binaryToDecimalLN;195;5.479375070248398;5;False;0.9948717948717949;0.5794871794871795;0.0;0.0;0.1415929203539823;0.23008849557522124;0.22123893805309736;0.25663716814159293;0.2831858407079646;25.82510444977142;-60;-15;4;-99;-74;6
ab5e5846;True;bubbleSortMT;44;0.7302298564434486;5;False;0.9772727272727273;0.75;0.0;0.0;0.18181818181818182;0.21212121212121213;0.12121212121212122;0.2727272727272727;0.36363636363636365;73.97774963710012;-6;10;3;-19;-14;2
33d8c332;True;bubbleSortMT;644;7.433571115266523;5;False;0.9627329192546584;0.812111801242236;0.027950310559006212;0.017080745341614908;0.12237093690248566;0.14149139579349904;0.12619502868068833;0.4110898661567878;0.3193116634799235;22.853545965487267;-252;-13;24;-277;-237;9
b02b7162;True;bubbleSortMT;131;3.708421797593772;5;False;0.9541984732824428;0.816793893129771;0.030534351145038167;0.0;0.08411214953271028;0.09345794392523364;0.07476635514018691;0.45794392523364486;0.3644859813084112;22.106456780393593;-14;15;4;-33;-23;3
095c9452;True;bubbleSortMT;218;3.221278167713336;5;False;0.9587155963302753;0.7935779816513762;0.10550458715596331;0.0;0.09826589595375723;0.10404624277456648;0.09826589595375723;0.4508670520231214;0.34104046242774566;17.63092659305449;-54;-4;7;-67;-32;8
03dc81fa;True;bubbleSortMT;349;6.863998426590618;5;False;0.8653295128939829;0.664756446991404;0.017191977077363897;0.0057306590257879654;0.16810344827586207;0.21120689655172414;0.2025862068965517;0.33189655172413796;0.25;72.27297432102655;-170;-6;17;-189;-139;11
5650734b;True;bubbleSortMT;318;3.6934226878360956;5;False;0.9339622641509434;0.8459119496855346;0.015723270440251572;0.0;0.10780669144981413;0.11524163568773234;0.11895910780669144;0.45353159851301117;0.30855018587360594;24.75239874537684;-104;-12;11;-123;-73;11
100f6006;True;bubbleSortMT;135;5.128205128205129;5;False;0.9333333333333333;0.8444444444444444;0.0962962962962963;0.0;0.09649122807017543;0.10526315789473684;0.07017543859649122;0.4649122807017544;0.3508771929824561;32.088270089312786;-19;7;4;-37;-7;7
bfc145dd;True;bubbleSortMT;67;2.749620388229983;5;False;0.7611940298507462;0.7014925373134329;0.05970149253731343;0.0;0.1276595744680851;0.1276595744680851;0.1276595744680851;0.44680851063829785;0.2765957446808511;30.005616855010757;-17;-9;3;-21;-1;5
32c8cfbd;True;bubbleSortMT;484;8.840182648401827;5;False;0.9256198347107438;0.7665289256198347;0.05991735537190083;0.0;0.10242587601078167;0.1105121293800539;0.10242587601078167;0.4123989218328841;0.3719676549865229;34.54156697353715;-136;-1;14;-155;-65;19
27ef8f7c;True;bubbleSortMT;254;5.253904230013445;5;False;0.7834645669291339;0.6062992125984252;0.0984251968503937;0.0;0.11688311688311688;0.13636363636363635;0.1038961038961039;0.42207792207792205;0.33116883116883117;25.368445860337605;-53;22;7;-71;-31;9
1cbabb88;True;bubbleSortMN;403;2.960535981898857;5;False;0.9875930521091811;0.56575682382134;0.0;0.0;0.17982456140350878;0.19298245614035087;0.17543859649122806;0.3508771929824561;0.27631578947368424;49.68596166205385;-146;-5;15;-165;-135;7
4a008c2b;True;bubbleSortMN;238;3.3113504187884355;5;False;0.9957983193277311;0.8571428571428571;0.0;0.0;0.08823529411764706;0.09803921568627451;0.09313725490196079;0.45098039215686275;0.35294117647058826;22.51353192490284;-56;-2;7;-75;-60;4
b167d432;True;bubbleSortMN;195;6.587615283267457;5;False;0.9435897435897436;0.6923076923076923;0.0;0.0;0.1259259259259259;0.14074074074074075;0.11851851851851852;0.4;0.3333333333333333;30.9202959172841;-48;13;7;-67;-37;7
77c00511;True;bubbleSortMN;246;4.902156151608146;5;False;0.9959349593495935;0.7560975609756098;0.0;0.0;0.10752688172043011;0.12365591397849462;0.13440860215053763;0.3870967741935484;0.34946236559139787;26.47277632881326;-68;-5;9;-93;-48;10
1f719d25;True;bubbleSortMN;220;9.327171747148853;5;False;0.9863636363636363;0.7318181818181818;0.0;0.0;0.11180124223602485;0.13043478260869565;0.12422360248447205;0.39751552795031053;0.3416149068322981;34.434686032497055;-60;11;8;-79;-49;7
3dc89518;True;bubbleSortLT;597;8.836720496158913;5;False;0.9698492462311558;0.6733668341708543;0.03015075376884422;0.006700167504187605;0.1417910447761194;0.1691542288557214;0.18407960199004975;0.3308457711442786;0.31343283582089554;37.988453107872004;-262;-19;24;-281;-241;9
a419ffe2;True;bubbleSortLT;1757;20.67399336361283;5;False;0.9732498577120091;0.7620944792259533;0.013659647125782584;0.00398406374501992;0.18745332337565349;0.21135175504107542;0.20985810306198655;0.28454070201643017;0.2935026138909634;53.31383124254121;-1100;-72;95;-1125;-905;45
